Baden-Württemberg, 48.6616, 9.1401
Bayern, 49, 11.4979
Berlin, 52.5200, 13.4050
Brandenburg, 51.8503, 13.8050
Bremen, 53.13, 8.8017
Hamburg, 53.5511, 9.9937
Hessen, 50.6521, 9.1624
Niedersachsen, 52.5367, 9.8451
Mecklenburg-Vorpommern, 53.8127, 12.4296
Nordrhein-Westfalen, 51.4332, 7.6616
Rheinland-Pfalz, 50.1183, 7.0210
Saarland, 49.3964, 7.0230
Sachsen, 51.1045, 13.2017
Sachsen-Anhalt, 51.9503, 11.6923
Schleswig-Holstein, 54.4, 9.5632
Thüringen, 51.0110, 10.8553
